ego_id,alter_id,is_study_peer,first_saved_week,last_saved_week,total_weeks_saved
10841,ext_89254682,0,60,133,60
10841,ext_8984c59c,0,60,133,60
10841,ext_8ae75995,0,60,133,60
10841,ext_8be35aa5,0,121,133,10
10841,ext_8c6a7d26,0,60,133,60
10841,ext_8c75a189,0,60,133,60
10841,ext_8d7b2a5e,0,60,133,60
10841,ext_8eb538ac,0,77,133,50
10841,ext_90b12fdb,0,96,99,4
10841,ext_91c9b53b,0,106,115,10
10841,ext_91e57d60,0,60,133,60
10841,ext_92aa30fd,0,91,133,38
10841,ext_96961cf6,0,60,133,60
10841,ext_9834dc38,0,103,105,3
10841,ext_9903830e,0,121,133,10
10841,ext_9b301971,0,60,133,60
10841,ext_9b9feac4,0,105,133,24
10841,ext_9bf28089,0,60,133,60
10841,ext_9bf5b106,0,60,133,60
10841,ext_a21d2c18,0,66,133,56
10841,ext_a222031c,0,60,133,60
10841,ext_a2c413a7,0,109,133,20
10841,ext_a425e664,0,60,133,60
10841,ext_a4ff312a,0,60,111,43
10841,ext_a5427c36,0,120,133,11
10841,ext_a5aa58dd,0,60,133,60
10841,ext_a6434ce5,0,60,133,60
10841,ext_a6e8fe1e,0,110,133,19
10841,ext_a6fafaa8,0,103,133,26
10841,ext_a7685b78,0,60,133,60
10841,ext_a83b6c1b,0,60,133,60
10841,ext_a8a45190,0,92,133,37
10841,ext_a93df387,0,73,133,54
10841,ext_aad966ac,0,60,133,60
10841,ext_ab6c1d97,0,60,133,60
10841,ext_ab87b4ac,0,108,133,21
10841,ext_acec2b22,0,95,133,34
10841,ext_ae22ab13,0,60,133,60
10841,ext_af31fb9c,0,60,133,60
10841,ext_b0f2a77b,0,68,105,32
10841,ext_b2492617,0,60,133,60
10841,ext_b389c1a2,0,106,133,23
10841,ext_b413c3bf,0,60,133,60
10841,ext_b5de5243,0,116,133,13
10841,ext_b6d53f8c,0,73,133,54
10841,ext_b7953daa,0,60,133,60
10841,ext_b83bf3f1,0,129,133,3
10841,ext_ba508bbe,0,60,133,60
10841,ext_baa63a87,0,116,133,13
10841,ext_bc602de6,0,60,133,60
10841,ext_bd923e1d,0,110,133,19
10841,ext_bea557f2,0,108,133,21
10841,ext_bf170820,0,92,133,37
10841,ext_bf248ef1,0,110,133,19
10841,ext_c01f1495,0,106,115,10
10841,ext_c0830c89,0,86,133,43
10841,ext_c1861c89,0,60,105,37
10841,ext_c2e53917,0,60,133,60
10841,ext_c6c6d8e1,0,64,133,57
10841,ext_c6ee988b,0,93,133,36
10841,ext_c7e68750,0,94,133,35
10841,ext_c80a7b99,0,60,133,60
10841,ext_c860c136,0,81,133,47
10841,ext_ca905683,0,60,133,60
10841,ext_cb98b95c,0,60,133,60
10841,ext_cbcdc561,0,86,133,43
10841,ext_cc8d045a,0,60,133,60
10841,ext_ccfb88d9,0,92,133,37
10841,ext_cf1ae468,0,66,133,45
10841,ext_d64e1b14,0,60,133,60
10841,ext_d668569a,0,93,102,10
10841,ext_d80eb1a9,0,60,133,60
10841,ext_d9a97f48,0,62,133,59
10841,ext_db5d506d,0,60,76,10
10841,ext_db627d49,0,77,133,50
10841,ext_dc072301,0,102,133,27
10841,ext_dce643d3,0,60,133,60
10841,ext_dd68136d,0,60,133,60
10841,ext_de55ce9d,0,92,133,30
10841,ext_de95af74,0,60,133,60
10841,ext_e0cc1535,0,60,133,60
10841,ext_e12cbf1c,0,60,133,60
10841,ext_e2d2c966,0,60,133,60
10841,ext_e2dd6491,0,123,133,8
10841,ext_e40fae95,0,60,133,60
10841,ext_e44d93fd,0,60,95,27
10841,ext_e7fdcca8,0,103,133,26
10841,ext_e8105918,0,103,133,16
10841,ext_e84205e9,0,60,133,60
10841,ext_eb90b4d0,0,98,102,5
10841,ext_ebe47cee,0,106,115,10
10841,ext_ec3fcf49,0,60,133,60
10841,ext_ee1a53a0,0,92,133,37
10841,ext_efc5607c,0,60,133,60
10841,ext_efd70099,0,106,133,23
10841,ext_efde9426,0,60,133,60
10841,ext_f16ed1c2,0,60,133,60
10841,ext_f278748c,0,93,133,36
10841,ext_f2d69d8f,0,60,133,60
10841,ext_f5011f1c,0,60,133,60
10841,ext_f5d6c99c,0,60,133,60
10841,ext_f679337f,0,112,133,17
10841,ext_f692853e,0,66,133,56
10841,ext_f9364115,0,60,133,60
10841,ext_f9442ff7,0,62,133,59
10841,ext_fa6288be,0,60,133,60
10841,ext_faa2751c,0,97,133,32
10841,ext_fbfff974,0,106,133,23
10841,ext_fe987219,0,108,133,21
11023,ext_0318c89b,0,61,90,21
11023,ext_11c2e96b,0,61,90,21
11023,ext_136825d4,0,78,90,11
11023,ext_1980c1f4,0,61,90,21
11023,ext_26b46960,0,74,90,14
11023,ext_29e802c9,0,61,90,21
11023,ext_37f73e97,0,61,90,21
11023,ext_38b89eaf,0,61,90,21
11023,ext_391e2060,0,61,90,21
11023,ext_45dbb070,0,61,90,21
11023,ext_4a63f1c9,0,61,90,21
11023,ext_5ebf855c,0,61,90,21
11023,ext_69c65cfb,0,74,90,14
11023,ext_6c8bf9dc,0,61,90,21
11023,ext_8613e4e0,0,67,90,17
11023,ext_90a690fc,0,61,90,21
11023,ext_98e68775,0,61,90,21
11023,ext_a8a45190,0,61,90,21
11023,ext_a91d8671,0,61,90,21
11023,ext_ac87c7eb,0,61,90,21
11023,ext_b5d24900,0,61,90,21
11023,ext_bc122754,0,61,90,21
11023,ext_be040953,0,61,90,21
11023,ext_be9d7fc3,0,61,90,21
11023,ext_bed53a81,0,69,90,16
11023,ext_c1fd91ec,0,74,90,14
11023,ext_ca905683,0,61,90,21
11023,ext_d583d0cd,0,61,90,21
11023,ext_d6906f53,0,84,90,7
11023,ext_e08539ff,0,67,90,17
11023,ext_e88b07cc,0,66,90,18
11023,ext_f0a75c14,0,62,90,20
11023,ext_f15f258c,0,62,90,20
11023,ext_f539cb78,0,61,90,21
11023,ext_f679337f,0,61,90,21
11360,10841,1,59,159,31
11360,14962,1,59,76,18
11360,30952,1,59,76,18
11360,35227,1,66,76,11
11360,40997,1,59,159,31
11360,44520,1,59,76,18
11360,53275,1,59,159,31
11360,63757,1,59,159,31
11360,68494,1,59,76,18
11360,ext_00895bca,0,59,76,18
