egoid,sender,wave,alter1_pos,alter2_pos,alter1_id,alter2_id,alter1_egoid,alter2_egoid,perceived_tie
40997,5745403704,2,1,16,5745401837,2194873453,53275,NA,1
40997,5745403704,2,1,18,5745401837,5743671938,53275,63757,1
40997,5745403704,2,1,19,5745401837,3036425543,53275,NA,1
40997,5745403704,2,1,20,5745401837,9722073374,53275,NA,1
40997,5745403704,2,2,5,8087543801,5743671839,NA,11360,1
40997,5745403704,2,2,7,8087543801,9542548810,NA,NA,1
40997,5745403704,2,2,8,8087543801,9546322050,NA,NA,1
40997,5745403704,2,2,9,8087543801,5745407560,NA,10841,1
40997,5745403704,2,2,10,8087543801,7874227695,NA,NA,1
40997,5745403704,2,2,11,8087543801,9154913056,NA,NA,1
40997,5745403704,2,2,12,8087543801,7873721353,NA,NA,1
40997,5745403704,2,2,13,8087543801,7742664061,NA,NA,1
40997,5745403704,2,2,14,8087543801,5745407536,NA,86352,1
40997,5745403704,2,2,15,8087543801,8018034269,NA,NA,1
40997,5745403704,2,2,16,8087543801,2194873453,NA,NA,1
40997,5745403704,2,2,18,8087543801,5743671938,NA,63757,1
40997,5745403704,2,2,19,8087543801,3036425543,NA,NA,1
40997,5745403704,2,2,20,8087543801,9722073374,NA,NA,1
40997,5745403704,2,3,4,9154874288,9153469163,NA,NA,1
40997,5745403704,2,3,5,9154874288,5743671839,NA,11360,1
40997,5745403704,2,3,6,9154874288,9158922206,NA,NA,1
40997,5745403704,2,3,11,9154874288,9154913056,NA,NA,1
40997,5745403704,2,3,14,9154874288,5745407536,NA,86352,1
40997,5745403704,2,3,17,9154874288,9159207992,NA,NA,1
40997,5745403704,2,4,6,9153469163,9158922206,NA,NA,1
40997,5745403704,2,4,14,9153469163,5745407536,NA,86352,1
40997,5745403704,2,4,17,9153469163,9159207992,NA,NA,1
40997,5745403704,2,5,7,5743671839,9542548810,11360,NA,1
40997,5745403704,2,5,8,5743671839,9546322050,11360,NA,1
40997,5745403704,2,5,9,5743671839,5745407560,11360,10841,1
40997,5745403704,2,5,10,5743671839,7874227695,11360,NA,1
40997,5745403704,2,5,11,5743671839,9154913056,11360,NA,1
40997,5745403704,2,5,12,5743671839,7873721353,11360,NA,1
40997,5745403704,2,5,14,5743671839,5745407536,11360,86352,1
40997,5745403704,2,5,15,5743671839,8018034269,11360,NA,1
40997,5745403704,2,5,16,5743671839,2194873453,11360,NA,1
40997,5745403704,2,5,18,5743671839,5743671938,11360,63757,1
40997,5745403704,2,5,20,5743671839,9722073374,11360,NA,1
40997,5745403704,2,6,17,9158922206,9159207992,NA,NA,1
40997,5745403704,2,7,8,9542548810,9546322050,NA,NA,1
40997,5745403704,2,7,9,9542548810,5745407560,NA,10841,1
40997,5745403704,2,7,10,9542548810,7874227695,NA,NA,1
40997,5745403704,2,7,11,9542548810,9154913056,NA,NA,1
40997,5745403704,2,7,14,9542548810,5745407536,NA,86352,1
40997,5745403704,2,7,15,9542548810,8018034269,NA,NA,1
40997,5745403704,2,7,16,9542548810,2194873453,NA,NA,1
40997,5745403704,2,7,18,9542548810,5743671938,NA,63757,1
40997,5745403704,2,7,19,9542548810,3036425543,NA,NA,1
40997,5745403704,2,8,9,9546322050,5745407560,NA,10841,1
40997,5745403704,2,8,10,9546322050,7874227695,NA,NA,1
40997,5745403704,2,8,14,9546322050,5745407536,NA,86352,1
40997,5745403704,2,8,15,9546322050,8018034269,NA,NA,1
40997,5745403704,2,8,16,9546322050,2194873453,NA,NA,1
40997,5745403704,2,8,18,9546322050,5743671938,NA,63757,1
40997,5745403704,2,8,19,9546322050,3036425543,NA,NA,1
40997,5745403704,2,9,10,5745407560,7874227695,10841,NA,1
40997,5745403704,2,9,11,5745407560,9154913056,10841,NA,1
40997,5745403704,2,9,14,5745407560,5745407536,10841,86352,1
40997,5745403704,2,9,15,5745407560,8018034269,10841,NA,1
40997,5745403704,2,9,16,5745407560,2194873453,10841,NA,1
40997,5745403704,2,9,18,5745407560,5743671938,10841,63757,1
40997,5745403704,2,9,19,5745407560,3036425543,10841,NA,1
40997,5745403704,2,10,11,7874227695,9154913056,NA,NA,1
40997,5745403704,2,10,12,7874227695,7873721353,NA,NA,1
40997,5745403704,2,10,15,7874227695,8018034269,NA,NA,1
40997,5745403704,2,10,16,7874227695,2194873453,NA,NA,1
40997,5745403704,2,10,18,7874227695,5743671938,NA,63757,1
40997,5745403704,2,10,19,7874227695,3036425543,NA,NA,1
40997,5745403704,2,11,12,9154913056,7873721353,NA,NA,1
40997,5745403704,2,11,13,9154913056,7742664061,NA,NA,1
40997,5745403704,2,11,14,9154913056,5745407536,NA,86352,1
40997,5745403704,2,11,15,9154913056,8018034269,NA,NA,1
40997,5745403704,2,11,16,9154913056,2194873453,NA,NA,1
40997,5745403704,2,11,18,9154913056,5743671938,NA,63757,1
40997,5745403704,2,11,20,9154913056,9722073374,NA,NA,1
40997,5745403704,2,12,13,7873721353,7742664061,NA,NA,1
40997,5745403704,2,14,15,5745407536,8018034269,86352,NA,1
40997,5745403704,2,14,16,5745407536,2194873453,86352,NA,1
40997,5745403704,2,14,18,5745407536,5743671938,86352,63757,1
40997,5745403704,2,14,19,5745407536,3036425543,86352,NA,1
40997,5745403704,2,15,16,8018034269,2194873453,NA,NA,1
40997,5745403704,2,15,18,8018034269,5743671938,NA,63757,1
40997,5745403704,2,15,19,8018034269,3036425543,NA,NA,1
40997,5745403704,2,16,18,2194873453,5743671938,NA,63757,1
40997,5745403704,2,16,19,2194873453,3036425543,NA,NA,1
40997,5745403704,2,16,20,2194873453,9722073374,NA,NA,1
40997,5745403704,2,18,19,5743671938,3036425543,63757,NA,1
41393,5743671879,2,1,2,3177094986,3176776883,NA,NA,1
41393,5743671879,2,1,9,3177094986,3176074796,NA,NA,1
41393,5743671879,2,1,12,3177094986,3175172144,NA,NA,1
41393,5743671879,2,1,13,3177094986,3176975576,NA,NA,1
41393,5743671879,2,1,14,3177094986,3173315450,NA,NA,1
41393,5743671879,2,1,16,3177094986,3174731391,NA,NA,1
41393,5743671879,2,2,9,3176776883,3176074796,NA,NA,1
41393,5743671879,2,2,10,3176776883,3175174972,NA,NA,1
41393,5743671879,2,2,12,3176776883,3175172144,NA,NA,1
41393,5743671879,2,2,13,3176776883,3176975576,NA,NA,1
41393,5743671879,2,2,14,3176776883,3173315450,NA,NA,1
41393,5743671879,2,2,15,3176776883,3173318108,NA,NA,1
41393,5743671879,2,2,16,3176776883,3174731391,NA,NA,1
41393,5743671879,2,3,4,7046810429,6307294912,NA,NA,1
41393,5743671879,2,3,5,7046810429,6143389621,NA,NA,1
41393,5743671879,2,3,8,7046810429,6094629733,NA,NA,1
