egoid,alter_id,is_study_peer,study_week,stata_week,flow_in,flow_out,total_flow,is_saved_in_contacts
25171,819722,0,0,2684,0,1,1,0
26425,312,0,0,2684,0,3,3,0
26425,1920,0,0,2684,1,0,1,0
26425,114976,0,0,2684,14,12,26,0
26425,141803,0,0,2684,14,14,28,0
26425,150732,0,0,2684,1,0,1,0
26425,168992,0,0,2684,17,16,33,0
26425,178331,0,0,2684,4,3,7,0
26425,179017,0,0,2684,2,3,5,0
26425,185025,0,0,2684,1,2,3,0
26425,637676,0,0,2684,1,0,1,0
26425,858067,0,0,2684,0,2,2,0
26999,209,0,0,2684,1,0,1,0
26999,312,0,0,2684,0,12,12,0
26999,1009,0,0,2684,1,0,1,0
26999,1920,0,0,2684,1,0,1,0
26999,13116,1,0,2684,0,2,2,1
26999,62555,1,0,2684,0,1,1,1
26999,75178,1,0,2684,1,0,1,1
26999,94795,0,0,2684,3,2,5,0
26999,110805,0,0,2684,72,124,196,0
26999,127589,0,0,2684,0,2,2,0
26999,143432,0,0,2684,1,0,1,0
26999,158496,0,0,2684,1,0,1,0
26999,192073,0,0,2684,1,0,1,0
26999,210194,0,0,2684,0,1,1,0
26999,229608,0,0,2684,0,2,2,0
26999,289373,0,0,2684,1,0,1,0
26999,318577,0,0,2684,1,0,1,0
26999,398596,0,0,2684,0,3,3,0
26999,414940,0,0,2684,0,1,1,0
26999,419833,0,0,2684,0,1,1,0
26999,781811,0,0,2684,17,22,39,0
26999,832721,0,0,2684,2,1,3,0
28831,129958,0,0,2684,0,1,1,0
28831,174560,0,0,2684,0,1,1,0
28831,188930,0,0,2684,0,1,1,0
28831,559216,0,0,2684,0,1,1,0
28831,580357,0,0,2684,0,1,1,0
29914,1261,0,0,2684,21,0,21,0
29914,181508,0,0,2684,1,0,1,0
30076,141440,0,0,2684,6,6,12,0
30076,151910,0,0,2684,3,2,5,0
30952,312,0,0,2684,0,15,15,0
30952,20905,1,0,2684,0,3,3,1
30952,22931,1,0,2684,1,3,4,1
30952,60830,1,0,2684,9,14,23,1
30952,69669,1,0,2684,0,1,1,1
30952,75178,1,0,2684,1,1,2,1
30952,95135,0,0,2684,1,7,8,0
30952,123752,0,0,2684,1,2,3,0
30952,143432,0,0,2684,2,6,8,0
30952,154810,0,0,2684,1,0,1,0
30952,155994,0,0,2684,1,3,4,0
30952,158496,0,0,2684,9,10,19,0
30952,164625,0,0,2684,1,5,6,0
30952,167133,0,0,2684,12,11,23,0
30952,189224,0,0,2684,15,0,15,0
30952,194907,0,0,2684,0,1,1,0
30952,276497,0,0,2684,0,5,5,0
30952,309312,0,0,2684,0,1,1,0
30952,562459,0,0,2684,0,1,1,0
30952,611662,0,0,2684,1,0,1,0
31372,312,0,0,2684,0,3,3,0
31372,1232,0,0,2684,0,1,1,0
31372,1476,0,0,2684,0,1,1,0
31372,117696,0,0,2684,0,1,1,0
31372,141343,0,0,2684,1,1,2,0
31372,159610,0,0,2684,23,22,45,0
31372,161187,0,0,2684,0,1,1,0
31372,178133,0,0,2684,4,4,8,0
31372,493478,0,0,2684,0,1,1,0
31372,640861,0,0,2684,11,10,21,0
31583,113640,0,0,2684,0,1,1,0
31583,530970,0,0,2684,1,0,1,0
32100,111223,0,0,2684,0,1,1,0
32100,142528,0,0,2684,0,1,1,0
