ego1,ego2,term,semester,academic_year,college_year,crn
25494,40629,201220,Spring 2013,2012-2013,Sophomore,25832
25494,63063,201220,Spring 2013,2012-2013,Sophomore,22254
26425,36006,201220,Spring 2013,2012-2013,Sophomore,20239
26425,36006,201220,Spring 2013,2012-2013,Sophomore,21473
26425,36006,201220,Spring 2013,2012-2013,Sophomore,29525
26999,45945,201220,Spring 2013,2012-2013,Sophomore,24550
26999,97655,201220,Spring 2013,2012-2013,Sophomore,22067
32174,46771,201220,Spring 2013,2012-2013,Sophomore,28799
32174,99367,201220,Spring 2013,2012-2013,Sophomore,24537
33094,70889,201220,Spring 2013,2012-2013,Sophomore,23657
36006,91064,201220,Spring 2013,2012-2013,Sophomore,29153
39783,95798,201220,Spring 2013,2012-2013,Sophomore,22061
40629,44520,201220,Spring 2013,2012-2013,Sophomore,24661
40629,72746,201220,Spring 2013,2012-2013,Sophomore,23128
40997,50947,201220,Spring 2013,2012-2013,Sophomore,20022
40997,50947,201220,Spring 2013,2012-2013,Sophomore,20436
40997,50947,201220,Spring 2013,2012-2013,Sophomore,21611
40997,50947,201220,Spring 2013,2012-2013,Sophomore,23570
40997,61280,201220,Spring 2013,2012-2013,Sophomore,30075
44167,99856,201220,Spring 2013,2012-2013,Sophomore,29309
45292,66991,201220,Spring 2013,2012-2013,Sophomore,23124
45945,52441,201220,Spring 2013,2012-2013,Sophomore,23092
45945,60482,201220,Spring 2013,2012-2013,Sophomore,25829
46021,73303,201220,Spring 2013,2012-2013,Sophomore,22281
46160,51597,201220,Spring 2013,2012-2013,Sophomore,21904
46160,84472,201220,Spring 2013,2012-2013,Sophomore,22239
46160,92699,201220,Spring 2013,2012-2013,Sophomore,29121
46584,48187,201220,Spring 2013,2012-2013,Sophomore,29464
46771,83184,201220,Spring 2013,2012-2013,Sophomore,23327
49294,51597,201220,Spring 2013,2012-2013,Sophomore,28818
49294,53275,201220,Spring 2013,2012-2013,Sophomore,20791
49294,85596,201220,Spring 2013,2012-2013,Sophomore,21909
51722,78911,201220,Spring 2013,2012-2013,Sophomore,21767
52441,99367,201220,Spring 2013,2012-2013,Sophomore,28620
52923,60482,201220,Spring 2013,2012-2013,Sophomore,24522
58909,69065,201220,Spring 2013,2012-2013,Sophomore,22606
58909,74916,201220,Spring 2013,2012-2013,Sophomore,20548
58909,74916,201220,Spring 2013,2012-2013,Sophomore,24571
58909,95400,201220,Spring 2013,2012-2013,Sophomore,22222
61280,66754,201220,Spring 2013,2012-2013,Sophomore,28876
63757,75468,201220,Spring 2013,2012-2013,Sophomore,22554
66991,68633,201220,Spring 2013,2012-2013,Sophomore,21836
70889,90289,201220,Spring 2013,2012-2013,Sophomore,23062
75468,98326,201220,Spring 2013,2012-2013,Sophomore,21548
77291,82060,201220,Spring 2013,2012-2013,Sophomore,29255
78911,95994,201220,Spring 2013,2012-2013,Sophomore,26347
91064,95798,201220,Spring 2013,2012-2013,Sophomore,24203
91064,99856,201220,Spring 2013,2012-2013,Sophomore,21062
15723,15776,201300,Summer 2013,2013-2014,Junior,1229
17353,46771,201300,Summer 2013,2013-2014,Junior,3507
17353,46771,201300,Summer 2013,2013-2014,Junior,3510
17353,46771,201300,Summer 2013,2013-2014,Junior,3914
23144,78966,201300,Summer 2013,2013-2014,Junior,2927
23144,78966,201300,Summer 2013,2013-2014,Junior,4120
58909,85596,201300,Summer 2013,2013-2014,Junior,2777
58909,85596,201300,Summer 2013,2013-2014,Junior,4119
10841,29914,201310,Fall 2013,2013-2014,Junior,17242
10841,49294,201310,Fall 2013,2013-2014,Junior,12179
10841,53275,201310,Fall 2013,2013-2014,Junior,10004
10841,53275,201310,Fall 2013,2013-2014,Junior,12181
10841,53275,201310,Fall 2013,2013-2014,Junior,15134
11692,14106,201310,Fall 2013,2013-2014,Junior,13575
11692,22617,201310,Fall 2013,2013-2014,Junior,11489
11692,36951,201310,Fall 2013,2013-2014,Junior,14325
13799,23040,201310,Fall 2013,2013-2014,Junior,12073
15071,29914,201310,Fall 2013,2013-2014,Junior,11449
15071,29914,201310,Fall 2013,2013-2014,Junior,11558
15071,29914,201310,Fall 2013,2013-2014,Junior,12227
15071,29914,201310,Fall 2013,2013-2014,Junior,15377
15071,51552,201310,Fall 2013,2013-2014,Junior,10192
15723,24853,201310,Fall 2013,2013-2014,Junior,11335
15723,33094,201310,Fall 2013,2013-2014,Junior,10963
15776,78911,201310,Fall 2013,2013-2014,Junior,13451
16313,19066,201310,Fall 2013,2013-2014,Junior,13938
16313,19066,201310,Fall 2013,2013-2014,Junior,21045
16933,69065,201310,Fall 2013,2013-2014,Junior,14263
17353,83184,201310,Fall 2013,2013-2014,Junior,20265
18420,33094,201310,Fall 2013,2013-2014,Junior,11439
18420,33094,201310,Fall 2013,2013-2014,Junior,11462
18420,33094,201310,Fall 2013,2013-2014,Junior,11900
18420,71518,201310,Fall 2013,2013-2014,Junior,13194
21350,77291,201310,Fall 2013,2013-2014,Junior,201001001
22617,22745,201310,Fall 2013,2013-2014,Junior,13181
22617,22745,201310,Fall 2013,2013-2014,Junior,14328
22617,26999,201310,Fall 2013,2013-2014,Junior,12399
22617,45292,201310,Fall 2013,2013-2014,Junior,14118
22617,45292,201310,Fall 2013,2013-2014,Junior,14643
22745,40629,201310,Fall 2013,2013-2014,Junior,14641
22745,45000,201310,Fall 2013,2013-2014,Junior,11794
22745,45000,201310,Fall 2013,2013-2014,Junior,16581
23040,92070,201310,Fall 2013,2013-2014,Junior,14878
23040,92070,201310,Fall 2013,2013-2014,Junior,16131
23144,49294,201310,Fall 2013,2013-2014,Junior,11953
23144,75468,201310,Fall 2013,2013-2014,Junior,10432
23144,85596,201310,Fall 2013,2013-2014,Junior,11417
23144,85596,201310,Fall 2013,2013-2014,Junior,12396
23144,85596,201310,Fall 2013,2013-2014,Junior,14025
24760,25171,201310,Fall 2013,2013-2014,Junior,17148
24760,52923,201310,Fall 2013,2013-2014,Junior,12702
24760,52923,201310,Fall 2013,2013-2014,Junior,13924
24853,38927,201310,Fall 2013,2013-2014,Junior,12509
24853,91064,201310,Fall 2013,2013-2014,Junior,11631
24853,92220,201310,Fall 2013,2013-2014,Junior,13682
24853,92220,201310,Fall 2013,2013-2014,Junior,101001001
24853,93418,201310,Fall 2013,2013-2014,Junior,10614
24853,99749,201310,Fall 2013,2013-2014,Junior,14581
25171,32100,201310,Fall 2013,2013-2014,Junior,13032
25171,32100,201310,Fall 2013,2013-2014,Junior,13933
25171,32100,201310,Fall 2013,2013-2014,Junior,19084
25171,66754,201310,Fall 2013,2013-2014,Junior,17087
25323,25494,201310,Fall 2013,2013-2014,Junior,12486
25323,25494,201310,Fall 2013,2013-2014,Junior,19057
25323,45292,201310,Fall 2013,2013-2014,Junior,12841
25323,66991,201310,Fall 2013,2013-2014,Junior,14910
25323,66991,201310,Fall 2013,2013-2014,Junior,15371
25323,83184,201310,Fall 2013,2013-2014,Junior,14642
25494,45292,201310,Fall 2013,2013-2014,Junior,16600
25494,45945,201310,Fall 2013,2013-2014,Junior,15354
25494,66991,201310,Fall 2013,2013-2014,Junior,13813
26425,36006,201310,Fall 2013,2013-2014,Junior,11043
26425,36006,201310,Fall 2013,2013-2014,Junior,11340
26425,36006,201310,Fall 2013,2013-2014,Junior,12232
26425,78966,201310,Fall 2013,2013-2014,Junior,16105
26999,28831,201310,Fall 2013,2013-2014,Junior,12842
26999,60482,201310,Fall 2013,2013-2014,Junior,12474
28831,36951,201310,Fall 2013,2013-2014,Junior,14109
28831,45945,201310,Fall 2013,2013-2014,Junior,13720
32174,52441,201310,Fall 2013,2013-2014,Junior,18590
33094,44956,201310,Fall 2013,2013-2014,Junior,11038
33094,44956,201310,Fall 2013,2013-2014,Junior,11938
36006,82060,201310,Fall 2013,2013-2014,Junior,18937
36951,63188,201310,Fall 2013,2013-2014,Junior,11969
38927,70889,201310,Fall 2013,2013-2014,Junior,16851
40629,44520,201310,Fall 2013,2013-2014,Junior,11795
40629,52385,201310,Fall 2013,2013-2014,Junior,12480
40629,83568,201310,Fall 2013,2013-2014,Junior,11873
