egoid,sender,wave,alters_nominated,potential_pairs,evaluated_pairs,perceived_ties,density
18344,5743671700,3,9,36,36,11,0.3056
18394,5745406164,3,15,105,105,40,0.381
18420,5743671750,3,18,153,153,28,0.183
19066,5745406529,3,13,78,78,32,0.4103
19844,5743671966,3,20,190,190,93,0.4895
21350,5743671670,3,7,21,21,7,0.3333
22617,5745407559,3,8,28,28,21,0.75
22745,5745407537,3,10,45,45,28,0.6222
22931,5743671786,3,7,21,21,17,0.8095
23040,5743671689,3,20,190,190,98,0.5158
23144,5743671924,3,20,190,190,85,0.4474
23642,5743671706,3,15,105,105,69,0.6571
24543,5745403337,3,11,55,55,24,0.4364
24760,5745407546,3,20,190,190,86,0.4526
24853,5743671740,3,20,190,190,111,0.5842
25171,5743671833,3,18,153,153,78,0.5098
25323,5743671729,3,13,78,78,39,0.5
25494,5743671765,3,6,15,15,15,1
25544,5743671683,3,15,105,105,29,0.2762
25947,5743671872,3,20,190,190,81,0.4263
26127,5743671682,3,8,28,28,12,0.4286
26425,5745407589,3,18,153,153,83,0.5425
26999,5745407566,3,8,28,7,5,0.1786
28831,5745407105,3,20,190,190,84,0.4421
29914,5743671760,3,9,36,36,19,0.5278
30076,5743671544,3,14,91,91,35,0.3846
30952,5745407579,3,20,190,190,49,0.2579
31372,5743671517,3,6,15,15,11,0.7333
31583,5743671513,3,7,21,21,18,0.8571
32100,5745407561,3,5,10,10,9,0.9
32174,5743671930,3,15,105,105,34,0.3238
33094,5743671802,3,14,91,91,56,0.6154
34250,5745407573,3,20,190,190,75,0.3947
34853,5745407539,3,20,190,190,71,0.3737
35227,5743671540,3,20,190,190,92,0.4842
36006,5743671905,3,18,153,153,60,0.3922
36143,5743671732,3,3,3,3,3,1
36951,5745406587,3,20,190,190,109,0.5737
